year,month,temp_c,precip_mm,oni,phase,warming_trend_c,t_enso_signal,p_enso_signal
1957,2,-0.69,39.3,0.06,neutral,-0.54,0.024,0.18
1957,3,6.42,45.6,0.41,neutral,-0.54,0.082,3.28
1957,4,10.62,62.7,0.72,el_nino,-0.54,0.144,5.76
1957,5,16.17,53.7,0.92,el_nino,-0.54,0.184,7.36
1957,6,17.77,87.0,1.11,el_nino,-0.54,-0.111,-13.32
1957,7,20.64,38.9,1.25,el_nino,-0.54,-0.125,-15.0
1957,8,18.87,27.5,1.32,el_nino,-0.54,-0.132,-15.84
1957,9,15.56,41.0,1.33,el_nino,-0.54,0.133,0.0
1957,10,10.81,54.5,1.39,el_nino,-0.54,0.139,0.0
1957,11,3.58,43.3,1.53,el_nino,-0.54,0.153,0.0
1957,12,-0.27,71.1,1.74,el_nino,-0.54,0.696,5.22
1958,1,-1.87,71.7,1.81,el_nino,-0.51,0.724,5.43
1958,2,3.98,18.7,1.66,el_nino,-0.51,0.664,4.98
1958,3,2.96,88.0,1.27,el_nino,-0.51,0.254,10.16
1958,4,8.84,0.4,0.93,el_nino,-0.51,0.186,7.44
1958,5,17.66,121.9,0.74,el_nino,-0.51,0.148,5.92
1958,6,18.36,68.4,0.64,el_nino,-0.51,-0.064,-7.68
1958,7,19.99,78.9,0.57,el_nino,-0.51,-0.057,-6.84
1958,8,21.99,0.0,0.43,neutral,-0.51,-0.043,-5.16
1958,9,16.76,22.3,0.39,neutral,-0.51,0.039,0.0
1958,10,12.38,16.3,0.44,neutral,-0.51,0.044,0.0
1958,11,4.46,45.2,0.5,el_nino,-0.51,0.05,0.0
1958,12,-2.23,14.4,0.61,el_nino,-0.51,0.244,1.83
1959,1,-6.4,26.2,0.61,el_nino,-0.48,0.244,1.83
1959,2,-1.68,61.8,0.62,el_nino,-0.48,0.248,1.86
1959,3,5.01,52.4,0.52,el_nino,-0.48,0.104,4.16
1959,4,8.74,24.2,0.33,neutral,-0.48,0.066,2.64
1959,5,14.27,67.5,0.2,neutral,-0.48,0.04,1.6
1959,6,18.07,39.2,-0.07,neutral,-0.48,0.007,0.84
1959,7,21.28,38.0,-0.18,neutral,-0.48,0.018,2.16
1959,8,19.35,17.7,-0.28,neutral,-0.48,0.028,3.36
1959,9,14.79,27.7,-0.09,neutral,-0.48,-0.009,0.0
1959,10,7.93,58.4,-0.03,neutral,-0.48,-0.003,0.0
1959,11,2.85,56.6,0.05,neutral,-0.48,0.005,0.0
1959,12,3.26,65.5,-0.04,neutral,-0.48,-0.016,-0.12
1960,1,-8.09,34.7,-0.1,neutral,-0.45,-0.04,-0.3
1960,2,-2.33,27.2,-0.1,neutral,-0.45,-0.04,-0.3
1960,3,7.8,41.5,-0.07,neutral,-0.45,-0.014,-0.56
1960,4,10.43,39.1,0.03,neutral,-0.45,0.006,0.24
1960,5,15.66,16.1,0.02,neutral,-0.45,0.004,0.16
1960,6,18.69,101.6,0.03,neutral,-0.45,-0.003,-0.36
1960,7,19.57,54.0,0.13,neutral,-0.45,-0.013,-1.56
1960,8,22.2,120.6,0.24,neutral,-0.45,-0.024,-2.88
1960,9,12.06,37.5,0.27,neutral,-0.45,0.027,0.0
1960,10,8.02,31.1,0.2,neutral,-0.45,0.02,0.0
1960,11,6.87,50.5,0.12,neutral,-0.45,0.012,0.0
1960,12,-0.57,22.6,0.05,neutral,-0.45,0.02,0.15
1961,1,1.82,21.6,0.04,neutral,-0.42,0.016,0.12
1961,2,-0.7,36.3,0.03,neutral,-0.42,0.012,0.09
1961,3,4.44,39.6,0.04,neutral,-0.42,0.008,0.32
1961,4,10.41,38.9,0.09,neutral,-0.42,0.018,0.72
1961,5,13.44,51.6,0.23,neutral,-0.42,0.046,1.84
1961,6,23.07,48.7,0.27,neutral,-0.42,-0.027,-3.24
1961,7,20.01,58.7,0.14,neutral,-0.42,-0.014,-1.68
1961,8,20.49,27.8,-0.13,neutral,-0.42,0.013,1.56
1961,9,14.66,27.0,-0.3,neutral,-0.42,-0.03,0.0
1961,10,9.91,8.8,-0.26,neutral,-0.42,-0.026,0.0
1961,11,4.58,39.0,-0.19,neutral,-0.42,-0.019,0.0
1961,12,-0.16,39.1,-0.16,neutral,-0.42,-0.064,-0.48
1962,1,-2.17,8.0,-0.24,neutral,-0.39,-0.096,-0.72
1962,2,2.48,33.5,-0.22,neutral,-0.39,-0.088,-0.66
1962,3,2.73,18.0,-0.2,neutral,-0.39,-0.04,-1.6
1962,4,6.05,34.4,-0.26,neutral,-0.39,-0.052,-2.08
1962,5,15.15,65.8,-0.28,neutral,-0.39,-0.056,-2.24
1962,6,13.21,0.0,-0.2,neutral,-0.39,0.02,2.4
1962,7,22.21,82.5,-0.04,neutral,-0.39,0.004,0.48
1962,8,20.65,8.6,-0.07,neutral,-0.39,0.007,0.84
1962,9,15.56,93.0,-0.11,neutral,-0.39,-0.011,0.0
1962,10,10.44,40.1,-0.22,neutral,-0.39,-0.022,0.0
1962,11,2.35,7.1,-0.31,neutral,-0.39,-0.031,0.0
1962,12,0.2,95.1,-0.43,neutral,-0.39,-0.172,-1.29
1963,1,-4.62,25.7,-0.4,neutral,-0.36,-0.16,-1.2
1963,2,1.76,5.2,-0.15,neutral,-0.36,-0.06,-0.45
1963,3,7.04,37.3,0.15,neutral,-0.36,0.03,1.2
1963,4,8.33,46.0,0.27,neutral,-0.36,0.054,2.16
1963,5,19.02,45.3,0.31,neutral,-0.36,0.062,2.48
1963,6,16.43,83.6,0.52,el_nino,-0.36,-0.052,-6.24
1963,7,19.33,77.2,0.86,el_nino,-0.36,-0.086,-10.32
1963,8,19.8,87.5,1.14,el_nino,-0.36,-0.114,-13.68
1963,9,15.78,28.0,1.22,el_nino,-0.36,0.122,0.0
1963,10,10.84,43.7,1.29,el_nino,-0.36,0.129,0.0
1963,11,1.17,46.2,1.37,el_nino,-0.36,0.137,0.0
1963,12,-3.34,11.4,1.31,el_nino,-0.36,0.524,3.93
1964,1,-1.24,37.0,1.07,el_nino,-0.33,0.428,3.21
1964,2,5.05,14.6,0.62,el_nino,-0.33,0.248,1.86
1964,3,5.48,17.8,0.12,neutral,-0.33,0.024,0.96
1964,4,12.51,57.7,-0.33,neutral,-0.33,-0.066,-2.64
1964,5,16.23,107.2,-0.58,la_nina,-0.33,-0.116,-4.64
1964,6,21.48,56.2,-0.58,la_nina,-0.33,0.058,6.96
1964,7,21.89,52.9,-0.6,la_nina,-0.33,0.06,7.2
1964,8,20.66,31.4,-0.66,la_nina,-0.33,0.066,7.92
1964,9,15.82,89.1,-0.76,la_nina,-0.33,-0.076,0.0
1964,10,8.54,6.0,-0.8,la_nina,-0.33,-0.08,0.0
1964,11,2.82,47.9,-0.82,la_nina,-0.33,-0.082,0.0
1964,12,-0.27,25.9,-0.78,la_nina,-0.33,-0.312,-2.34
1965,1,-3.98,62.7,-0.59,la_nina,-0.3,-0.236,-1.77
1965,2,1.91,29.6,-0.28,neutral,-0.3,-0.112,-0.84
1965,3,4.5,0.3,-0.07,neutral,-0.3,-0.014,-0.56
1965,4,14.91,30.0,0.18,neutral,-0.3,0.036,1.44
1965,5,15.06,109.5,0.46,neutral,-0.3,0.092,3.68
1965,6,20.34,71.7,0.83,el_nino,-0.3,-0.083,-9.96
1965,7,18.46,51.5,1.22,el_nino,-0.3,-0.122,-14.64
1965,8,19.2,111.7,1.54,el_nino,-0.3,-0.154,-18.48
1965,9,16.42,67.9,1.85,el_nino,-0.3,0.185,0.0
1965,10,10.51,86.8,1.98,el_nino,-0.3,0.198,0.0
1965,11,4.71,17.0,1.97,el_nino,-0.3,0.197,0.0
1965,12,-6.1,51.4,1.72,el_nino,-0.3,0.688,5.16
1966,1,-4.28,73.9,1.37,el_nino,-0.27,0.548,4.11
1966,2,3.96,36.2,1.17,el_nino,-0.27,0.468,3.51
1966,3,8.53,31.4,0.98,el_nino,-0.27,0.196,7.84
1966,4,5.48,33.8,0.66,el_nino,-0.27,0.132,5.28
1966,5,16.48,6.9,0.35,neutral,-0.27,0.07,2.8
1966,6,18.91,84.7,0.24,neutral,-0.27,-0.024,-2.88
1966,7,19.1,57.0,0.24,neutral,-0.27,-0.024,-2.88
1966,8,21.63,50.2,0.12,neutral,-0.27,-0.012,-1.44
1966,9,19.89,23.3,-0.05,neutral,-0.27,-0.005,0.0
1966,10,10.82,46.1,-0.1,neutral,-0.27,-0.01,0.0
1966,11,4.75,40.3,-0.18,neutral,-0.27,-0.018,0.0
1966,12,2.16,58.5,-0.3,neutral,-0.27,-0.12,-0.9
1967,1,-6.81,16.0,-0.41,neutral,-0.24,-0.164,-1.23
1967,2,-3.15,32.1,-0.48,neutral,-0.24,-0.192,-1.44
1967,3,6.32,52.3,-0.53,la_nina,-0.24,-0.106,-4.24
1967,4,12.93,52.3,-0.45,neutral,-0.24,-0.09,-3.6
1967,5,16.35,67.1,-0.24,neutral,-0.24,-0.048,-1.92
1967,6,21.37,23.6,-0.0,neutral,-0.24,0.0,0.0
1967,7,20.1,12.2,0.05,neutral,-0.24,-0.005,-0.6
1967,8,25.49,74.3,-0.16,neutral,-0.24,0.016,1.92
1967,9,15.04,1.0,-0.3,neutral,-0.24,-0.03,0.0
1967,10,7.72,37.5,-0.38,neutral,-0.24,-0.038,0.0
1967,11,7.32,89.4,-0.34,neutral,-0.24,-0.034,0.0
1967,12,3.37,38.4,-0.44,neutral,-0.24,-0.176,-1.32
1968,1,-5.46,63.3,-0.64,la_nina,-0.21,-0.256,-1.92
1968,2,1.96,27.7,-0.74,la_nina,-0.21,-0.296,-2.22
1968,3,4.64,48.3,-0.62,la_nina,-0.21,-0.124,-4.96
1968,4,9.31,24.0,-0.44,neutral,-0.21,-0.088,-3.52
1968,5,15.18,99.1,-0.04,neutral,-0.21,-0.008,-0.32
1968,6,19.23,86.3,0.28,neutral,-0.21,-0.028,-3.36
1968,7,23.44,32.0,0.58,el_nino,-0.21,-0.058,-6.96
1968,8,19.09,0.0,0.53,el_nino,-0.21,-0.053,-6.36
1968,9,13.45,72.6,0.45,neutral,-0.21,0.045,0.0
1968,10,11.36,93.5,0.55,el_nino,-0.21,0.055,0.0
1968,11,2.62,10.1,0.73,el_nino,-0.21,0.073,0.0
1968,12,-2.63,64.5,0.98,el_nino,-0.21,0.392,2.94
1969,1,-3.73,22.1,1.13,el_nino,-0.18,0.452,3.39
1969,2,-2.52,38.9,1.09,el_nino,-0.18,0.436,3.27
1969,3,7.78,43.2,0.95,el_nino,-0.18,0.19,7.6
1969,4,8.5,24.5,0.77,el_nino,-0.18,0.154,6.16
1969,5,18.28,70.4,0.61,el_nino,-0.18,0.122,4.88
1969,6,18.45,18.9,0.43,neutral,-0.18,-0.043,-5.16
1969,7,21.24,100.3,0.36,neutral,-0.18,-0.036,-4.32
1969,8,19.34,40.6,0.51,el_nino,-0.18,-0.051,-6.12
1969,9,16.21,15.0,0.79,el_nino,-0.18,0.079,0.0
1969,10,12.97,80.6,0.86,el_nino,-0.18,0.086,0.0
1969,11,-1.49,62.8,0.81,el_nino,-0.18,0.081,0.0
1969,12,-6.55,50.5,0.63,el_nino,-0.18,0.252,1.89
1970,1,2.05,42.6,0.51,el_nino,-0.15,0.204,1.53
1970,2,-0.39,52.6,0.34,neutral,-0.15,0.136,1.02
1970,3,5.15,13.2,0.29,neutral,-0.15,0.058,2.32
1970,4,11.11,28.8,0.19,neutral,-0.15,0.038,1.52
1970,5,15.18,157.5,0.04,neutral,-0.15,0.008,0.32
1970,6,19.14,12.5,-0.3,neutral,-0.15,0.03,3.6
1970,7,21.43,27.7,-0.63,la_nina,-0.15,0.063,7.56
1970,8,24.05,10.1,-0.76,la_nina,-0.15,0.076,9.12
1970,9,16.83,63.3,-0.77,la_nina,-0.15,-0.077,0.0
1970,10,11.42,51.6,-0.74,la_nina,-0.15,-0.074,0.0
1970,11,0.01,54.7,-0.86,la_nina,-0.15,-0.086,0.0
1970,12,-0.16,77.6,-1.15,la_nina,-0.15,-0.46,-3.45
1971,1,1.83,36.8,-1.36,la_nina,-0.12,-0.544,-4.08
1971,2,3.26,0.0,-1.38,la_nina,-0.12,-0.552,-4.14
1971,3,4.25,54.4,-1.12,la_nina,-0.12,-0.224,-8.96
1971,4,13.87,57.4,-0.85,la_nina,-0.12,-0.17,-6.8
1971,5,14.91,49.1,-0.73,la_nina,-0.12,-0.146,-5.84
1971,6,18.45,5.5,-0.74,la_nina,-0.12,0.074,8.88
1971,7,21.45,71.0,-0.8,la_nina,-0.12,0.08,9.6
1971,8,21.17,56.5,-0.77,la_nina,-0.12,0.077,9.24
1971,9,15.29,25.8,-0.82,la_nina,-0.12,-0.082,0.0
1971,10,8.83,32.3,-0.85,la_nina,-0.12,-0.085,0.0
1971,11,1.0,72.5,-0.96,la_nina,-0.12,-0.096,0.0
1971,12,3.79,61.6,-0.9,la_nina,-0.12,-0.36,-2.7
1972,1,-2.09,5.9,-0.71,la_nina,-0.09,-0.284,-2.13
1972,2,-1.29,27.8,-0.35,neutral,-0.09,-0.14,-1.05
1972,3,4.79,32.0,0.06,neutral,-0.09,0.012,0.48
1972,4,10.15,54.1,0.41,neutral,-0.09,0.082,3.28
1972,5,17.37,45.1,0.67,el_nino,-0.09,0.134,5.36
1972,6,22.6,84.9,0.92,el_nino,-0.09,-0.092,-11.04
1972,7,21.96,63.4,1.13,el_nino,-0.09,-0.113,-13.56
1972,8,18.96,58.3,1.37,el_nino,-0.09,-0.137,-16.44
1972,9,16.09,40.0,1.58,el_nino,-0.09,0.158,0.0
1972,10,11.6,49.3,1.84,el_nino,-0.09,0.184,0.0
1972,11,8.05,92.9,2.09,el_nino,-0.09,0.209,0.0
1972,12,5.19,40.9,2.12,el_nino,-0.09,0.848,6.36
1973,1,3.11,40.0,1.84,el_nino,-0.06,0.736,5.52
1973,2,3.36,28.0,1.25,el_nino,-0.06,0.5,3.75
1973,3,10.34,59.5,0.54,el_nino,-0.06,0.108,4.32
1973,4,10.11,69.9,-0.1,neutral,-0.06,-0.02,-0.8
1973,5,15.11,39.9,-0.54,la_nina,-0.06,-0.108,-4.32
1973,6,20.8,42.3,-0.87,la_nina,-0.06,0.087,10.44
1973,7,20.29,69.5,-1.11,la_nina,-0.06,0.111,13.32
1973,8,20.83,133.1,-1.28,la_nina,-0.06,0.128,15.36
1973,9,16.06,76.2,-1.45,la_nina,-0.06,-0.145,0.0
1973,10,8.21,42.6,-1.71,la_nina,-0.06,-0.171,0.0
1973,11,6.9,12.4,-1.95,la_nina,-0.06,-0.195,0.0
1973,12,0.74,20.6,-2.03,la_nina,-0.06,-0.812,-6.09
1974,1,-6.83,1.3,-1.84,la_nina,-0.03,-0.736,-5.52
1974,2,0.45,0.0,-1.55,la_nina,-0.03,-0.62,-4.65
1974,3,4.48,53.5,-1.23,la_nina,-0.03,-0.246,-9.84
1974,4,12.93,40.7,-1.03,la_nina,-0.03,-0.206,-8.24
1974,5,15.53,48.2,-0.91,la_nina,-0.03,-0.182,-7.28
1974,6,21.08,46.1,-0.77,la_nina,-0.03,0.077,9.24
1974,7,24.4,74.3,-0.53,la_nina,-0.03,0.053,6.36
1974,8,20.06,31.2,-0.37,neutral,-0.03,0.037,4.44
1974,9,17.9,50.1,-0.41,neutral,-0.03,-0.041,0.0
1974,10,9.43,5.3,-0.61,la_nina,-0.03,-0.061,0.0
1974,11,8.08,83.4,-0.75,la_nina,-0.03,-0.075,0.0
1974,12,0.96,14.0,-0.64,la_nina,-0.03,-0.256,-1.92
1975,1,-0.23,44.2,-0.54,la_nina,0.0,-0.216,-1.62
1975,2,-0.96,37.7,-0.57,la_nina,0.0,-0.228,-1.71
1975,3,6.7,46.8,-0.65,la_nina,0.0,-0.13,-5.2
1975,4,12.59,2.5,-0.73,la_nina,0.0,-0.146,-5.84
1975,5,14.73,16.7,-0.83,la_nina,0.0,-0.166,-6.64
1975,6,20.91,41.4,-0.98,la_nina,0.0,0.098,11.76
1975,7,20.07,61.6,-1.13,la_nina,0.0,0.113,13.56
1975,8,19.45,52.4,-1.2,la_nina,0.0,0.12,14.4
1975,9,19.14,24.8,-1.37,la_nina,0.0,-0.137,0.0
1975,10,11.01,41.4,-1.43,la_nina,0.0,-0.143,0.0
1975,11,8.23,89.4,-1.55,la_nina,0.0,-0.155,0.0
1975,12,2.64,16.9,-1.65,la_nina,0.0,-0.66,-4.95
1976,1,-3.74,19.6,-1.56,la_nina,0.03,-0.624,-4.68
1976,2,-5.08,39.2,-1.17,la_nina,0.03,-0.468,-3.51
1976,3,6.1,44.6,-0.73,la_nina,0.03,-0.146,-5.84
1976,4,12.16,28.8,-0.47,neutral,0.03,-0.094,-3.76
1976,5,13.6,41.5,-0.28,neutral,0.03,-0.056,-2.24
1976,6,19.33,29.7,-0.05,neutral,0.03,0.005,0.6
1976,7,19.57,111.3,0.18,neutral,0.03,-0.018,-2.16
1976,8,23.18,56.1,0.35,neutral,0.03,-0.035,-4.2
1976,9,20.7,72.4,0.62,el_nino,0.03,0.062,0.0
1976,10,9.89,43.4,0.81,el_nino,0.03,0.081,0.0
1976,11,4.48,48.5,0.86,el_nino,0.03,0.086,0.0
1976,12,6.0,39.9,0.85,el_nino,0.03,0.34,2.55
1977,1,-1.26,16.6,0.71,el_nino,0.06,0.284,2.13
1977,2,2.7,35.1,0.64,el_nino,0.06,0.256,1.92
1977,3,8.41,6.3,0.34,neutral,0.06,0.068,2.72
1977,4,9.07,36.2,0.23,neutral,0.06,0.046,1.84
1977,5,13.71,0.0,0.21,neutral,0.06,0.042,1.68
1977,6,17.31,95.4,0.34,neutral,0.06,-0.034,-4.08
1977,7,21.29,101.2,0.35,neutral,0.06,-0.035,-4.2
1977,8,18.73,79.6,0.42,neutral,0.06,-0.042,-5.04
1977,9,16.65,37.4,0.57,el_nino,0.06,0.057,0.0
1977,10,7.5,36.3,0.73,el_nino,0.06,0.073,0.0
1977,11,5.06,64.2,0.81,el_nino,0.06,0.081,0.0
1977,12,4.46,26.1,0.79,el_nino,0.06,0.316,2.37
1978,1,0.6,47.4,0.69,el_nino,0.09,0.276,2.07
1978,2,1.47,18.0,0.42,neutral,0.09,0.168,1.26
1978,3,6.98,40.9,0.06,neutral,0.09,0.012,0.48
1978,4,9.74,14.3,-0.18,neutral,0.09,-0.036,-1.44
1978,5,16.84,45.0,-0.31,neutral,0.09,-0.062,-2.48
1978,6,21.17,60.2,-0.29,neutral,0.09,0.029,3.48
1978,7,19.92,38.3,-0.36,neutral,0.09,0.036,4.32
1978,8,22.94,35.3,-0.42,neutral,0.09,0.042,5.04
1978,9,12.94,32.0,-0.42,neutral,0.09,-0.042,0.0
1978,10,10.46,60.9,-0.29,neutral,0.09,-0.029,0.0
1978,11,5.68,28.9,-0.08,neutral,0.09,-0.008,0.0
1978,12,0.5,70.2,0.0,neutral,0.09,0.0,0.0
1979,1,0.01,10.0,0.03,neutral,0.12,0.012,0.09
1979,2,-5.82,18.7,0.07,neutral,0.12,0.028,0.21
1979,3,3.38,60.3,0.2,neutral,0.12,0.04,1.6
1979,4,13.02,40.7,0.28,neutral,0.12,0.056,2.24
1979,5,12.79,38.9,0.23,neutral,0.12,0.046,1.84
1979,6,19.09,71.5,0.05,neutral,0.12,-0.005,-0.6
1979,7,23.27,37.0,0.04,neutral,0.12,-0.004,-0.48
1979,8,20.36,39.9,0.17,neutral,0.12,-0.017,-2.04
1979,9,18.8,52.8,0.33,neutral,0.12,0.033,0.0
1979,10,10.28,27.2,0.45,neutral,0.12,0.045,0.0
1979,11,3.2,76.3,0.52,el_nino,0.12,0.052,0.0
1979,12,3.55,52.9,0.64,el_nino,0.12,0.256,1.92
1980,1,1.21,0.0,0.59,el_nino,0.15,0.236,1.77
1980,2,2.91,30.6,0.46,neutral,0.15,0.184,1.38
1980,3,3.69,30.9,0.34,neutral,0.15,0.068,2.72
1980,4,13.43,50.1,0.38,neutral,0.15,0.076,3.04
1980,5,16.87,95.7,0.48,neutral,0.15,0.096,3.84
1980,6,18.7,44.5,0.46,neutral,0.15,-0.046,-5.52
1980,7,19.48,0.0,0.25,neutral,0.15,-0.025,-3.0
1980,8,23.49,61.8,0.03,neutral,0.15,-0.003,-0.36
1980,9,16.8,54.4,-0.07,neutral,0.15,-0.007,0.0
1980,10,10.76,70.2,0.02,neutral,0.15,0.002,0.0
1980,11,5.87,51.2,0.11,neutral,0.15,0.011,0.0
1980,12,0.43,40.0,-0.01,neutral,0.15,-0.004,-0.03
1981,1,-3.05,24.7,-0.26,neutral,0.18,-0.104,-0.78
1981,2,-1.75,24.0,-0.5,la_nina,0.18,-0.2,-1.5
1981,3,10.09,38.5,-0.47,neutral,0.18,-0.094,-3.76
1981,4,10.62,58.9,-0.37,neutral,0.18,-0.074,-2.96
1981,5,17.29,57.8,-0.26,neutral,0.18,-0.052,-2.08
1981,6,20.02,134.6,-0.29,neutral,0.18,0.029,3.48
1981,7,25.24,64.4,-0.3,neutral,0.18,0.03,3.6
1981,8,20.84,83.1,-0.25,neutral,0.18,0.025,3.0
1981,9,14.88,55.7,-0.16,neutral,0.18,-0.016,0.0
1981,10,13.88,96.2,-0.13,neutral,0.18,-0.013,0.0
1981,11,3.53,81.1,-0.15,neutral,0.18,-0.015,0.0
1981,12,0.54,39.9,-0.08,neutral,0.18,-0.032,-0.24
1982,1,-7.78,27.9,-0.05,neutral,0.21,-0.02,-0.15
1982,2,1.51,22.8,0.07,neutral,0.21,0.028,0.21
1982,3,5.97,66.8,0.19,neutral,0.21,0.038,1.52
1982,4,15.05,27.4,0.47,neutral,0.21,0.094,3.76
